STRUCTURE,STRUCTURE_ID,freq: Time frequency,unit: Unit of measure,sex: Sex,age: Age class,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,FR: France,2023,697960,p: provisional,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,HR: Croatia,2023,35923,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,HU: Hungary,2023,94583,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,IE: Ireland,2023,60393,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,IS: Iceland,2023,4962,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,IT: Italy,2023,404252,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,LI: Liechtenstein,2023,381,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,LT: Lithuania,2023,24669,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,LU: Luxembourg,2023,6965,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,LV: Latvia,2023,17636,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,ME: Montenegro,2023,7052,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,MK: North Macedonia,2023,16511,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,MT: Malta,2023,4524,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,NL: Netherlands,2023,181514,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,NO: Norway,2023,57415,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,PL: Poland,2023,332990,"ep: estimated, provisional",
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,PT: Portugal,2023,80558,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,RO: Romania,2023,181279,e: estimated,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,RS: Serbia,2023,61586,b: break in time series,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,SE: Sweden,2023,116123,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,SI: Slovenia,2023,19208,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,SK: Slovakia,2023,57655,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y1: 1 year,TR: Türkiye,2023,1080886,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,AL: Albania,2023,26849,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,AT: Austria,2023,85888,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,BE: Belgium,2023,117474,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,BG: Bulgaria,2023,57313,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,CH: Switzerland,2023,86673,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,CY: Cyprus,2023,9985,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,CZ: Czechia,2023,112223,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,DE: Germany,2023,773830,b: break in time series,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,DK: Denmark,2023,62209,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,EE: Estonia,2023,13885,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,EL: Greece,2023,81647,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,ES: Spain,2023,348066,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,FI: Finland,2023,47286,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,FR: France,2023,695805,p: provisional,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,HR: Croatia,2023,34835,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,HU: Hungary,2023,94661,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,IE: Ireland,2023,57636,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,IS: Iceland,2023,4628,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,IT: Italy,2023,411247,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,LI: Liechtenstein,2023,372,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,LT: Lithuania,2023,25171,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,LU: Luxembourg,2023,6829,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,LV: Latvia,2023,17860,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,ME: Montenegro,2023,7056,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,MK: North Macedonia,2023,18256,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,MT: Malta,2023,4517,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,NL: Netherlands,2023,171544,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,NO: Norway,2023,54778,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,PL: Poland,2023,351380,"ep: estimated, provisional",
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,PT: Portugal,2023,86176,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,RO: Romania,2023,192325,e: estimated,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,RS: Serbia,2023,61869,b: break in time series,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,SE: Sweden,2023,116027,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,SI: Slovenia,2023,19030,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,SK: Slovakia,2023,57665,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y2: 2 years,TR: Türkiye,2023,1120115,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,AL: Albania,2023,26927,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,AT: Austria,2023,87434,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,BE: Belgium,2023,121280,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,BG: Bulgaria,2023,57591,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,CH: Switzerland,2023,87633,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,CY: Cyprus,2023,9726,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,CZ: Czechia,2023,115010,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,DE: Germany,2023,782423,b: break in time series,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,DK: Denmark,2023,62571,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,EE: Estonia,2023,14872,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,EL: Greece,2023,81749,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,ES: Spain,2023,370824,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,FI: Finland,2023,46828,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,FR: France,2023,720314,p: provisional,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,HR: Croatia,2023,35008,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,HU: Hungary,2023,91877,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,IE: Ireland,2023,60417,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,IS: Iceland,2023,4624,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,IT: Italy,2023,428451,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,LI: Liechtenstein,2023,373,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,LT: Lithuania,2023,26704,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,LU: Luxembourg,2023,6835,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,LV: Latvia,2023,19176,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,ME: Montenegro,2023,7165,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,MK: North Macedonia,2023,19165,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,MT: Malta,2023,4403,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,NL: Netherlands,2023,173555,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,NO: Norway,2023,56455,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,PL: Poland,2023,372906,"ep: estimated, provisional",
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,PT: Portugal,2023,88739,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,RO: Romania,2023,199195,e: estimated,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,RS: Serbia,2023,63713,b: break in time series,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,SE: Sweden,2023,118350,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,SI: Slovenia,2023,19810,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,SK: Slovakia,2023,59256,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y3: 3 years,TR: Türkiye,2023,1191671,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,AL: Albania,2023,24688,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,AT: Austria,2023,81304,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,BE: Belgium,2023,114531,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,BG: Bulgaria,2023,56526,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,CH: Switzerland,2023,80839,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,CY: Cyprus,2023,10353,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,CZ: Czechia,2023,101919,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,DE: Germany,2023,724711,b: break in time series,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,DK: Denmark,2023,58740,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,EE: Estonia,2023,11817,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,EL: Greece,2023,76241,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,ES: Spain,2023,329968,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,FI: Finland,2023,44974,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,FR: France,2023,676815,p: provisional,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,HR: Croatia,2023,33936,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,HU: Hungary,2023,89471,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,IE: Ireland,2023,55739,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,IS: Iceland,2023,4421,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,IT: Italy,2023,393920,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,LI: Liechtenstein,2023,370,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,LT: Lithuania,2023,22472,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,LU: Luxembourg,2023,6476,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,LV: Latvia,2023,15788,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,ME: Montenegro,2023,7087,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,MK: North Macedonia,2023,17959,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,MT: Malta,2023,4326,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,NL: Netherlands,2023,167629,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,NO: Norway,2023,51991,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,PL: Poland,2023,299538,"ep: estimated, provisional",
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,PT: Portugal,2023,83833,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,RO: Romania,2023,177097,e: estimated,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,RS: Serbia,2023,62479,b: break in time series,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,SE: Sweden,2023,105186,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,SI: Slovenia,2023,17584,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,SK: Slovakia,2023,53143,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,Y_LT1: Less than 1 year,TR: Türkiye,2023,1009579,,
